[2019-06-10 15:24:43] [INFO   ] 18 monkey crossing L->R. Position: 2. Living time: 2.003s. Supposed speed: 1/s. 
[2019-06-10 15:24:43] [INFO   ] 19 monkey waiting. Living time: 2.008s. 
[2019-06-10 15:24:43] [INFO   ] 20 monkey waiting. Living time: 2.009s. 
[2019-06-10 15:24:43] [INFO   ] 15 monkey waiting. Living time: 2.012s. 
[2019-06-10 15:24:43] [INFO   ] 14 monkey waiting. Living time: 2.016s. 
[2019-06-10 15:24:43] [INFO   ] 12 monkey waiting. Living time: 2.019s. 
[2019-06-10 15:24:43] [INFO   ] 16 monkey crossing L->R. Position: 1. Living time: 2.02s. Supposed speed: 1/s. 
[2019-06-10 15:24:43] [INFO   ] 13 monkey waiting. Living time: 2.026s. 
[2019-06-10 15:24:43] [INFO   ] 11 monkey waiting. Living time: 2.029s. 
[2019-06-10 15:24:43] [INFO   ] 17 monkey waiting. Living time: 2.032s. 
[2019-06-10 15:24:43] [INFO   ] 9 monkey crossing L->R. Position: 3. Living time: 5.035s. Supposed speed: 3/s. 
[2019-06-10 15:24:43] [INFO   ] 2 monkey crossing L->R. Position: 5. Living time: 5.04s. Supposed speed: 1/s. 
[2019-06-10 15:24:43] [INFO   ] 5 monkey crossing L->R. Position: 5. Living time: 5.042s. Supposed speed: 1/s. 
[2019-06-10 15:24:43] [INFO   ] 1 monkey crossing L->R. Position: 5. Living time: 5.048s. Supposed speed: 1/s. 
[2019-06-10 15:24:43] [INFO   ] 6 monkey crossing L->R. Position: 4. Living time: 5.05s. Supposed speed: 2/s. 
[2019-06-10 15:24:43] [INFO   ] 7 monkey crossing L->R. Position: 4. Living time: 5.053s. Supposed speed: 3/s. 
[2019-06-10 15:24:43] [INFO   ] 4 monkey waiting. Living time: 5.055s. 
[2019-06-10 15:24:43] [INFO   ] 3 monkey crossing L->R. Position: 2. Living time: 5.058s. Supposed speed: 4/s. 
[2019-06-10 15:24:43] [INFO   ] 8 monkey waiting. Living time: 5.063s. 
[2019-06-10 15:24:43] [INFO   ] 10 monkey crossing L->R. Position: 3. Living time: 5.066s. Supposed speed: 3/s. 
